"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"43702","col","","13.729444","45.726391","Grotta Tilde, Gabrovizza, Trieste, Northern Italy","","Grotta dell'Alce,\r\nLosova Jama","1","Middle Pleistocene","Late Pleistocene","0.781","0.0117","11465"
"44091","col","","18.183332","40.383331","San Sidero 3, Maglie (Lecce), Salento, Puglia","","S.S.3","1","Pleistocene","","2.588","0.0117","11575"
"48858","col","","39.066666","27.066668","An Nafud desert, Locality 2","","An Nafoud","1","Pleistocene","","2.588","0.0117","13025"
"48889","col","","5.395000","43.686111","La grotte de l'Escale bed H, Saint-Esteve-Janson, Bouches du Rhone.","48890","L'Escale","1","Middle Pleistocene","","0.781","0.126","13053"
"48908","col","","5.395000","43.686111","La grotte de l'Escale bed D, Saint-Esteve-Janson, Bouches du Rhone.","48890","L'Escale","1","Middle Pleistocene","","0.781","0.126","13053"
"48910","col","","5.395000","43.686111","La grotte de l'Escale bed C, Saint-Esteve-Janson, Bouches du Rhone.","48890","L'Escale","1","Middle Pleistocene","","0.781","0.126","13053"
"49814","col","Cromer Forest Bed","1.731944","52.455276","Pakefield/Kessingland rootlet bed, Suffolk, England","","","1","Middle Pleistocene","","0.781","0.126","13378"
"49816","col","Cromer Forest Bed","1.246667","52.940556","West Runton Freshwater Bed, Norfolk, England","","WRFB","1","Middle Pleistocene","","0.781","0.126","13380"
"50196","col","","8.266667","50.066666","Mosbach 2 main fauna, bei Wiesbaden","","","2","Middle Pleistocene","","0.781","0.126","9643"
"50199","col","","8.816667","49.333332","Mauer bei Heidelberg","","","2","Middle Pleistocene","","0.781","0.126","9643"
"50249","col","","10.483333","51.916668","Sudmer Berg 2, bei Goslar","","","1","Middle Pleistocene","","0.781","0.126","9643"
"50258","col","","16.934723","48.139999","Hundsheim bei Hainburg","","","1","Middle Pleistocene","","0.781","0.126","9643"
"50259","col","","9.516667","48.533333","Heppenloch bei Urach","","","1","Middle Pleistocene","","0.781","0.126","9643"
"50342","col","","7.458889","43.765556","Vallonnet Cave bed 3 'faunal level', Roquebrune-Cap-Martin, Alpes Maritimes","","","3","Early Pleistocene","","2.588","0.781","13519"
"51100","col","","104.733330","25.627222","Panxian Dadong","","","2","Middle Pleistocene","","0.781","0.126","13623"
"55533","col","","4.053056","51.958057","Maasvlakte, Fauna III","","Meuse Levels, Beer canal","1","Holocene","","0.0117","0","14999"
"56733","col","","44.195000","41.329166","Dmanisi","","Dmanissi","1","Early Pleistocene","","2.588","0.781","25341"
"58809","col","","23.033333","42.849998","Slivnitsa","","","1","Pliocene","Pleistocene","5.333","0.0117","16685"
"65405","col","Silver Bluff","-80.292503","32.559166","Edisto Island","","","1","Pleistocene","","2.588","0.0117","18853"
"67660","col","","38.816666","35.150002","Nadaouiyeh Aïn Askar","","El Kowm","1","Middle Pleistocene","","0.781","0.126","19319"
"69723","col","","4.450000","36.033333","Mansourah","","","1","Early Pleistocene","","2.588","0.781","23392"
"70673","col","Tarija","-64.733330","-21.533333","Tarija","","","1","Early Pleistocene","","2.588","0.781","19694"
"70704","col","Nuapua","-63.066666","-20.750000","Nuapua 1, Chuquisaca, Bolivia","","","1","Middle Pleistocene","","0.781","0.126","19694"
"71060","col","","107.283333","47.766666","Nalaikha","","","1","Early Pleistocene","","2.588","0.781","23807"
"71277","col","","-100.716667","23.816668","Rancho La Amapola","","El Cedral","1","Late Pleistocene","","0.126","0.0117","23923"
"71303","col","Lujan","-57.125000","-34.066666","Lujan","","","1","Lujanian","","0.781","0.012","24010"
"71313","col","","-40.860832","-10.160000","Toca da Boa Vista","","","1","Late Pleistocene","Holocene","0.126","0","24122"
"71322","col","Nuapua","-63.066666","-20.866667","Nuapua 1","","","1","Ensenadan","","1.2","0.781","23916"
